# (c) Scikit-HEP project - Particle package data file - pdgid_to_latexname.csv - version 13 - 2023-07-03
PDGID,LATEXNAME
9020325,K_{2}(2250)^{+}
9020443,\psi(4415)
9030113,\rho(1900)^{0}
9030213,\rho(1900)^{+}
9030221,f_{0}(1500)
9030225,f_{2}(1810)
9040113,\rho(2150)^{0}
9040213,\rho(2150)^{+}
9040221,\eta(1760)
9040225,f_{2}(1910)
9042413,Z(4430)^{+}
9050221,f_{0}(2020)
9050225,f_{2}(1950)
9060221,f_{0}(2100)
9060225,f_{2}(2010)
9070221,f_{0}(2200)
9070225,f_{2}(2150)
9080221,\eta(2225)
9080225,f_{2}(2300)
9090221,f_{0}(2330)
9090225,f_{2}(2340)
9910445,X_{2}(3872)
9920443,X_{1}(3872)
480000000,geantino
1000010020,^{2}\mathrm{H}
1000010030,^{3}\mathrm{H}
1000020030,^{3}\mathrm{He}
1000020040,^{2}\mathrm{He}
1000030070,^{7}\mathrm{Li}
1000040080,^{8}\mathrm{Be}
1000040090,^{9}\mathrm{Be}
1000040100,^{10}\mathrm{Be}
1000050100,^{10}\mathrm{B}
1000050110,^{11}\mathrm{B}
1000050120,^{12}\mathrm{B}
1000060120,^{12}\mathrm{C}
1000060130,^{13}\mathrm{C}
1000060140,^{14}\mathrm{C}
1000070140,^{14}\mathrm{N}
1000070150,^{15}\mathrm{N}
1000070160,^{16}\mathrm{N}
1000080160,^{16}\mathrm{O}
1000080170,^{17}\mathrm{O}
1000080180,^{18}\mathrm{O}
1000080190,^{19}\mathrm{O}
1000090190,^{19}\mathrm{F}
1000100220,^{22}\mathrm{Ne}
1000100230,^{23}\mathrm{Ne}
1000110240,^{24}\mathrm{Na}
1000120240,^{24}\mathrm{Mg}
1000120250,^{25}\mathrm{Mg}
1000120260,^{26}\mathrm{Mg}
1000120270,^{27}\mathrm{Mg}
1000130270,^{27}\mathrm{Al}
1000130280,^{28}\mathrm{Al}
1000140280,^{28}\mathrm{Si}
1000140290,^{29}\mathrm{Si}
1000140300,^{30}\mathrm{Si}
1000150310,^{31}\mathrm{P}
1000170390,^{39}\mathrm{Cl}
1000170400,^{40}\mathrm{Cl}
1000180360,^{36}\mathrm{Ar}
1000180400,^{40}\mathrm{Ar}
1000240500,^{50}\mathrm{Cr}
1000240520,^{52}\mathrm{Cr}
1000240530,^{53}\mathrm{Cr}
1000240540,^{54}\mathrm{Cr}
1000250550,^{55}\mathrm{Mn}
1000260540,^{54}\mathrm{Fe}
1000260560,^{56}\mathrm{Fe}
1000260570,^{57}\mathrm{Fe}
1000260590,^{59}\mathrm{Fe}
1000280580,^{58}\mathrm{Ni}
1000280600,^{60}\mathrm{Ni}
1000280610,^{61}\mathrm{Ni}
1000280620,^{62}\mathrm{Ni}
1000280630,^{63}\mathrm{Ni}
1000280640,^{64}\mathrm{Ni}
1000290630,^{63}\mathrm{Cu}
1000290650,^{65}\mathrm{Cu}
1000420920,^{92}\mathrm{Mo}
1000420950,^{95}\mathrm{Mo}
1000420960,^{96}\mathrm{Mo}
1000420970,^{97}\mathrm{Mo}
1000420980,^{98}\mathrm{Mo}
1000421000,^{100}\mathrm{Mo}
1000461080,^{108}\mathrm{Pd}
1000791970,^{197}\mathrm{Au}
1000822040,^{204}\mathrm{Pb}
1000822060,^{206}\mathrm{Pb}
1000822070,^{207}\mathrm{Pb}
1000822080,^{208}\mathrm{Pb}
